Model,Consistency (%),Consistency (Count),Alignment (%),Alignment (Count),Quality (%),Quality (Count)
flux_best,70.0,21,70.0,21,86.66666666666667,26
characonsist,30.0,9,30.0,9,13.333333333333334,4
