Model,Consistency (%),Consistency (Count),Alignment (%),Alignment (Count),Quality (%),Quality (Count)
flux_best,70.0,21,53.333333333333336,16,73.33333333333333,22
characonsist,30.0,9,46.666666666666664,14,26.666666666666668,8
