Model,Consistency (%),Consistency (Count),Alignment (%),Alignment (Count),Quality (%),Quality (Count)
flux_best,86.66666666666667,26,70.0,21,63.33333333333333,19
characonsist,13.333333333333334,4,30.0,9,36.666666666666664,11
