Model,Consistency (%),Consistency (Count),Alignment (%),Alignment (Count),Quality (%),Quality (Count)
flux_best,73.33333333333333,22,66.66666666666666,20,96.66666666666667,29
characonsist,26.666666666666668,8,33.33333333333333,10,3.3333333333333335,1
