Model,Consistency (%),Consistency (Count),Alignment (%),Alignment (Count),Quality (%),Quality (Count)
flux_best,100.0,30.0,100.0,30.0,96.66666666666667,29
characonsist,0.0,0.0,0.0,0.0,3.3333333333333335,1
