Model,Consistency (%),Consistency (Count),Alignment (%),Alignment (Count),Quality (%),Quality (Count)
flux_best,83.33333333333334,25,56.666666666666664,17,76.66666666666667,23
characonsist,16.666666666666664,5,43.333333333333336,13,23.333333333333332,7
