Model,Consistency (%),Consistency (Count),Alignment (%),Alignment (Count),Quality (%),Quality (Count)
flux_best,76.66666666666667,23,60.0,18,70.0,21
characonsist,23.333333333333332,7,40.0,12,30.0,9
