Model,Consistency (%),Consistency (Count),Alignment (%),Alignment (Count),Quality (%),Quality (Count)
flux_best,66.66666666666666,6,44.44444444444444,4,66.66666666666666,6
characonsist,33.33333333333333,3,55.55555555555556,5,33.33333333333333,3
