Model,Consistency (%),Consistency (Count),Alignment (%),Alignment (Count),Quality (%),Quality (Count)
flux_best,80.0,24,70.0,21,86.66666666666667,26
characonsist,20.0,6,30.0,9,13.333333333333334,4
