id,prompt,vote_consistency,vote_alignment,vote_quality,rater
fantasy_7,fantasy_7,flux_best,flux_best,characonsist,도윤
fairy_tales_30,fairy_tales_30,characonsist,flux_best,flux_best,도윤
fairy_tales_38,fairy_tales_38,flux_best,characonsist,flux_best,도윤
fairy_tales_19,fairy_tales_19,characonsist,flux_best,characonsist,도윤
fantasy_11,fantasy_11,flux_best,characonsist,flux_best,도윤
fairy_tales_12,fairy_tales_12,flux_best,flux_best,characonsist,도윤
animals_0,animals_0,characonsist,characonsist,flux_best,도윤
fantasy_2,fantasy_2,flux_best,characonsist,flux_best,도윤
fantasy_1,fantasy_1,flux_best,characonsist,flux_best,도윤
