Model,Consistency (%),Consistency (Count),Alignment (%),Alignment (Count),Quality (%),Quality (Count)
flux_best,83.33333333333334,25,70.0,21,83.33333333333334,25
characonsist,16.666666666666664,5,30.0,9,16.666666666666664,5
