Model,Consistency (%),Consistency (Count),Alignment (%),Alignment (Count),Quality (%),Quality (Count)
flux_best,80.0,24,66.66666666666666,20,80.0,24
characonsist,20.0,6,33.33333333333333,10,20.0,6
