Model,Consistency (%),Consistency (Count),Alignment (%),Alignment (Count),Quality (%),Quality (Count)
flux_best,83.33333333333334,25,70.0,21,86.66666666666667,26
characonsist,16.666666666666664,5,30.0,9,13.333333333333334,4
