Model,Consistency (%),Consistency (Count),Alignment (%),Alignment (Count),Quality (%),Quality (Count)
flux_best,60.0,18,70.0,21,86.66666666666667,26
characonsist,40.0,12,30.0,9,13.333333333333334,4
