Model,Consistency (%),Consistency (Count),Alignment (%),Alignment (Count),Quality (%),Quality (Count)
flux_best,70.0,21,76.66666666666667,23,83.33333333333334,25
characonsist,30.0,9,23.333333333333332,7,16.666666666666664,5
