Model,Consistency (%),Consistency (Count),Alignment (%),Alignment (Count),Quality (%),Quality (Count)
flux_best,55.55555555555556,5,55.55555555555556,5,66.66666666666666,6
characonsist,44.44444444444444,4,44.44444444444444,4,33.33333333333333,3
