Model,Consistency (%),Consistency (Count),Alignment (%),Alignment (Count),Quality (%),Quality (Count)
flux_best,86.66666666666667,26,66.66666666666666,20,90.0,27
characonsist,13.333333333333334,4,33.33333333333333,10,10.0,3
