Model,Consistency (%),Consistency (Count),Alignment (%),Alignment (Count),Quality (%),Quality (Count)
flux_best,66.66666666666666,20,70.0,21,86.66666666666667,26
characonsist,33.33333333333333,10,30.0,9,13.333333333333334,4
