Model,Consistency (%),Consistency (Count),Alignment (%),Alignment (Count),Quality (%),Quality (Count)
flux_best,76.66666666666667,23,70.0,21,93.33333333333333,28
characonsist,23.333333333333332,7,30.0,9,6.666666666666667,2
