Model,Consistency (%),Consistency (Count),Alignment (%),Alignment (Count),Quality (%),Quality (Count)
characonsist,56.666666666666664,17,40.0,12,53.333333333333336,16
flux_best,43.333333333333336,13,60.0,18,46.666666666666664,14
