Model,Consistency (%),Consistency (Count),Alignment (%),Alignment (Count),Quality (%),Quality (Count)
flux_best,83.33333333333334,25,63.33333333333333,19,53.333333333333336,16
characonsist,16.666666666666664,5,36.666666666666664,11,46.666666666666664,14
